Person,Date,Number of Sleep Hours
dg,11/15/2017,11
dg,11/16/2017,11
dg,11/17/2017,11
dg,11/18/2017,11
dg,11/19/2017,11
dg,11/20/2017,11
rr,11/1/2017,20
rr,11/2/2017,21
rr,11/3/2017,2
rr,11/4/2017,3
rr,11/5/2017,11
rr,11/6/2017,11
rr,11/7/2017,4
rr,11/8/2017,11
rr,11/9/2017,15
rr,11/10/2017,11
rr,11/11/2017,6
rr,11/12/2017,11
rr,11/13/2017,7
rr,11/14/2017,11
rr,11/15/2017,10
rr,11/16/2017,11
rr,11/17/2017,8
rr,11/18/2017,11
rr,11/19/2017,9
rr,11/20/2017,9
db,11/1/2017,9
db,11/2/2017,9
db,11/3/2017,8
db,11/4/2017,7
db,11/5/2017,8
db,11/6/2017,9
db,11/7/2017,11
db,11/8/2017,6
db,11/9/2017,9
db,11/10/2017,8
db,11/11/2017,9
db,11/12/2017,5
db,11/13/2017,7
db,11/14/2017,5
db,11/15/2017,4
db,11/16/2017,9
db,11/17/2017,5
db,11/18/2017,10
db,11/19/2017,6
db,11/20/2017,9
sb,11/1/2017,9
sb,11/2/2017,13
sb,11/3/2017,14
sb,11/4/2017,13
sb,11/5/2017,5
sb,11/6/2017,9
sb,11/7/2017,9
sb,11/8/2017,9
sb,11/9/2017,10
sb,11/10/2017,10
sb,11/11/2017,10
sb,11/12/2017,7
sb,11/13/2017,10
sb,11/14/2017,9
sb,11/15/2017,9
sb,11/16/2017,9
sb,11/17/2017,9
sb,11/18/2017,9
sb,11/19/2017,9
sb,11/20/2017,9
pb,11/1/2017,9
pb,11/2/2017,14
pb,11/3/2017,15
pb,11/4/2017,15
pb,11/5/2017,19
pb,11/6/2017,16
pb,11/7/2017,18
pb,11/8/2017,18
pb,11/9/2017,18
pb,11/10/2017,13
pb,11/11/2017,13
pb,11/12/2017,13
pb,11/13/2017,11
pb,11/14/2017,16
pb,11/15/2017,11
pb,11/16/2017,12
pb,11/17/2017,12
pb,11/18/2017,12
pb,11/19/2017,12
pb,11/20/2017,12
dm,11/1/2017,14
dm,11/2/2017,12
dm,11/3/2017,13
dm,11/4/2017,18
dm,11/5/2017,19
dm,11/6/2017,8
dm,11/7/2017,7
dm,11/8/2017,8
dm,11/9/2017,9
dm,11/10/2017,10
dm,11/11/2017,11
dm,11/12/2017,11
dm,11/13/2017,11
dm,11/14/2017,11
dm,11/15/2017,11
dm,11/16/2017,11
dm,11/17/2017,11
dm,11/18/2017,3
dm,11/19/2017,17
dm,11/20/2017,19
rt,11/1/2017,8
rt,11/2/2017,8
rt,11/3/2017,8
rt,11/4/2017,8
rt,11/5/2017,9
rt,11/6/2017,9
rt,11/7/2017,9
rt,11/8/2017,9
rt,11/9/2017,9
rt,11/10/2017,9
rt,11/11/2017,9
rt,11/12/2017,8
rt,11/13/2017,8
rt,11/14/2017,8
rt,11/15/2017,8
rt,11/16/2017,8
rt,11/17/2017,9
rt,11/18/2017,8
rt,11/19/2017,9
rt,11/20/2017,9
kc,11/1/2017,13
kc,11/2/2017,14
kc,11/3/2017,15
kc,11/4/2017,16
kc,11/5/2017,14
kc,11/6/2017,12
kc,11/7/2017,17
kc,11/8/2017,17
kc,11/9/2017,18
kc,11/10/2017,20
kc,11/11/2017,22
kc,11/12/2017,12
kc,11/13/2017,13
kc,11/14/2017,13
kc,11/15/2017,14
kc,11/16/2017,14
kc,11/17/2017,14
kc,11/18/2017,22
kc,11/19/2017,23
kc,11/20/2017,22
yp,11/1/2017,7
yp,11/2/2017,7
yp,11/3/2017,7
yp,11/4/2017,8
yp,11/5/2017,8
yp,11/6/2017,10
yp,11/7/2017,11
yp,11/8/2017,12
yp,11/9/2017,12
yp,11/10/2017,12
yp,11/11/2017,16
yp,11/12/2017,6
yp,11/13/2017,6
yp,11/14/2017,6
yp,11/15/2017,9
yp,11/16/2017,9
yp,11/17/2017,9
yp,11/18/2017,9
yp,11/19/2017,9
yp,11/20/2017,9
vp,11/1/2017,11
vp,11/2/2017,9
vp,11/3/2017,9
vp,11/4/2017,18
vp,11/5/2017,18
vp,11/6/2017,18
vp,11/7/2017,18
vp,11/8/2017,18
vp,11/9/2017,19
vp,11/10/2017,22
vp,11/11/2017,23
vp,11/12/2017,24
vp,11/13/2017,11
vp,11/14/2017,22
vp,11/15/2017,14
vp,11/16/2017,22
vp,11/17/2017,12
vp,11/18/2017,12
vp,11/19/2017,12
vp,11/20/2017,12
rc,11/1/2017,5
rc,11/2/2017,5
rc,11/3/2017,6
rc,11/4/2017,8
rc,11/5/2017,9
rc,11/6/2017,5
rc,11/7/2017,12
rc,11/8/2017,6
rc,11/9/2017,7
rc,11/10/2017,8
rc,11/11/2017,5
rc,11/12/2017,5
rc,11/13/2017,5
rc,11/14/2017,8
rc,11/15/2017,6
rc,11/16/2017,7
rc,11/17/2017,8
rc,11/18/2017,5
rc,11/19/2017,6
rc,11/20/2017,7
